ID,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
92,1,2,6,5,6,3,2,1,1,2
93,1,3,6,6,7,2,3,1,3,2
94,1,4,6,5,6,3,2,1,1,2
95,2,1,6,5,7,7,2,1,1,2
96,5,4,6,4,2,3,4,1,1,2
97,5,3,6,2,2,6,6,1,3,2
98,3,1,6,2,7,6,5,1,4,2
99,3,1,5,6,6,7,4,1,1,2
100,5,2,5,4,5,5,5,1,1,2
101,2,1,5,4,7,4,5,1,4,2
102,3,1,5,6,4,7,6,1,1,2
103,5,1,5,1,7,3,6,1,3,2
104,7,6,5,1,1,2,7,1,1,2
105,7,6,5,2,1,2,7,1,1,2
106,7,1,1,7,2,7,7,1,5,2
107,7,1,1,7,1,5,7,7,4,2
108,7,1,1,1,1,2,7,1,4,2
109,7,7,1,1,3,2,7,1,2,2
110,5,5,1,1,7,1,7,1,1,2
111,7,1,1,1,6,1,7,1,1,2
112,7,1,1,1,6,1,7,1,1,2
113,7,1,1,1,2,2,7,1,1,2
114,5,5,6,3,3,4,2,1,2,2
115,5,3,7,2,3,5,3,1,1,2
116,5,4,7,4,3,3,2,1,1,2
117,5,4,7,4,2,4,2,1,2,2
118,3,5,6,6,2,6,1,1,1,2
119,3,4,6,5,3,6,1,1,4,2
120,2,5,6,5,3,6,1,1,1,2
121,5,4,6,4,3,5,3,1,1,2
122,2,2,6,6,5,6,1,1,3,2
123,3,4,6,5,4,4,2,1,1,2
124,3,5,6,6,3,6,1,1,1,2
125,7,3,6,2,4,4,3,1,1,2
126,5,2,6,5,3,5,4,1,2,2
127,3,2,6,3,4,4,4,1,1,2
128,6,6,4,4,2,3,7,1,3,2
129,6,5,4,6,2,4,6,1,3,2
130,6,6,3,6,1,3,7,1,3,2
131,7,6,2,4,2,3,7,1,1,2
132,7,5,1,4,1,3,7,1,2,2
133,5,5,7,2,3,5,2,1,1,2
134,5,5,7,5,1,4,2,1,3,2
135,5,4,7,3,4,3,2,1,1,2
136,4,3,7,3,2,4,3,1,4,2
137,5,3,6,2,6,4,3,1,2,2
138,3,2,6,5,5,6,2,1,1,2
139,3,2,6,5,7,7,1,1,1,2
140,3,2,6,6,6,6,1,1,1,2
141,3,4,6,6,3,7,2,1,1,2
142,5,3,6,2,4,4,3,1,3,2
143,2,2,6,4,5,7,2,1,4,2
144,3,3,6,6,4,7,2,1,1,2
145,2,3,5,3,5,5,5,1,4,2
146,5,2,6,3,3,6,4,1,5,2
147,4,5,6,2,4,2,4,1,1,3
148,2,4,6,4,3,4,3,1,1,3
149,3,4,6,4,3,4,3,1,2,3
150,2,1,6,4,5,4,3,1,1,3
151,3,3,6,6,3,5,3,1,3,3
152,6,7,7,1,1,1,6,1,1,3
153,4,5,6,1,5,2,5,1,1,3
154,2,5,6,3,3,5,3,1,1,3
155,3,2,6,3,3,6,5,1,1,3
156,2,3,6,3,5,3,4,1,1,3
157,2,4,6,3,3,3,4,1,1,3
158,6,6,6,1,1,2,6,1,1,3
159,4,5,6,5,2,5,5,1,1,3
160,5,5,6,6,1,4,5,1,2,3
161,5,4,6,5,2,4,5,1,1,3
162,6,5,6,1,3,2,5,1,4,3
163,7,6,6,1,1,3,6,1,6,3
164,1,6,5,7,1,7,1,5,1,5
165,6,1,3,6,3,5,7,1,1,5
166,7,1,3,5,4,3,7,1,1,5
167,6,1,3,5,7,5,7,1,1,5
168,6,1,1,6,7,3,7,1,1,5
169,3,2,1,6,7,7,7,1,1,5
170,6,4,1,6,5,3,7,1,1,5
171,7,5,1,6,2,3,7,1,1,5
172,1,3,1,7,1,7,1,1,1,5
173,1,3,1,7,1,7,1,1,1,5
174,6,4,1,4,2,3,7,1,1,5
175,6,2,3,7,2,7,6,1,7,5
176,6,2,1,5,7,2,7,1,4,5
177,6,6,4,5,2,1,6,1,1,6
178,6,6,4,2,4,1,6,1,1,6
179,5,7,4,6,3,1,6,1,1,6
180,5,6,4,6,3,1,6,1,1,6
181,1,7,3,5,7,1,1,1,1,6
182,5,7,2,6,3,1,7,1,1,6
183,6,6,1,7,4,1,7,1,1,6
184,6,7,1,1,7,1,7,1,1,6
185,1,7,1,1,7,1,1,1,1,6
186,1,5,5,6,4,7,1,3,1,7
187,5,7,6,7,1,7,1,4,1,7
188,7,5,6,3,3,5,5,1,1,7
189,7,7,4,7,1,7,6,1,1,7
190,7,7,3,3,1,3,4,4,1,7
191,2,6,3,6,6,1,4,2,1,7
192,1,7,1,7,7,1,5,2,2,7
193,2,6,1,7,7,2,5,1,2,7
194,3,7,1,7,5,1,3,4,2,7
195,3,7,1,7,7,1,3,4,1,7
196,1,6,1,7,7,2,6,2,1,7
197,1,6,1,7,6,2,6,2,1,7
198,3,7,1,7,7,1,5,2,1,7
199,1,7,1,7,6,2,6,2,1,7
200,1,7,1,7,6,2,5,2,1,7
201,1,7,1,7,7,1,3,2,1,7
202,2,1,1,2,7,7,5,1,1,7
203,1,7,1,7,7,1,3,2,1,7
204,2,7,1,7,6,1,2,4,1,7
205,2,7,1,7,7,1,4,2,1,7
206,3,7,1,6,5,1,4,4,1,7
207,2,7,1,6,6,1,4,4,1,7
208,5,7,1,6,4,7,1,7,1,7
209,2,7,1,7,4,1,6,2,1,7
210,2,6,1,7,3,2,6,3,1,7
211,3,7,1,7,6,1,3,4,1,7
212,6,7,1,7,7,1,3,4,1,7
213,2,7,1,7,7,1,3,4,1,7
214,3,6,1,7,7,1,4,4,1,7
